iid_pid,iid,id,gender,idg,condtn,wave,round,position,positin1,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,age,field_cd,race,imprace,imprelig,income,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1
6804.0,453.0,14.0,1.0,24.0,2.0,17.0,11.0,2.0,14.0,1.0,10.0,439.0,0.0,0.48,0.0,29.0,2.0,20.0,10.0,50.0,5.0,10.0,5.0,0.0,3.0,10.0,10.0,3.0,10.0,0.0,27.0,1.0,4.0,4.0,3.0,54799.10406990521,2.0,6.0,5.0,1.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,5.18277454689432,30.0,30.0,30.0,5.0,0.0,5.0
6803.0,453.0,14.0,1.0,24.0,2.0,17.0,11.0,13.0,14.0,10.0,9.0,438.0,0.0,0.31,0.0,23.0,2.0,14.0,15.0,16.0,17.0,18.0,20.0,0.0,3.0,9.0,10.0,3.0,10.0,2.0,27.0,1.0,4.0,4.0,3.0,54820.51122478341,2.0,6.0,5.0,1.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,5.18276477246156,30.0,30.0,30.0,5.0,0.0,5.0
6802.0,453.0,14.0,1.0,24.0,2.0,17.0,11.0,12.0,14.0,9.0,8.0,437.0,0.0,0.4,0.0,23.0,2.0,15.0,15.0,18.0,18.0,14.0,20.0,0.0,6.0,8.0,10.0,6.0,9.0,5.0,27.0,1.0,4.0,4.0,3.0,55080.0,2.0,6.0,5.0,1.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,5.182761842675148,30.0,30.0,30.0,5.0,0.0,5.0
6801.0,453.0,14.0,1.0,24.0,2.0,17.0,11.0,6.0,14.0,4.0,7.0,436.0,0.0,0.59,0.0,23.0,2.0,28.0,8.0,17.0,22.0,17.0,8.0,0.0,7.0,10.0,8.0,8.0,8.0,7.0,27.0,1.0,4.0,4.0,3.0,55080.00000000001,2.0,6.0,5.0,1.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,5.18277007378461,30.0,30.0,30.0,5.0,0.0,5.0
6800.0,453.0,14.0,1.0,24.0,2.0,17.0,11.0,7.0,14.0,5.0,6.0,435.0,0.0,-0.17,0.0,22.0,1.0,25.0,5.0,20.0,25.0,15.0,10.0,0.0,2.0,8.243299196373785,8.1196437693207,5.971747432093515,7.387969019925038,4.264697361855088,27.0,1.0,4.0,4.0,3.0,55080.0,2.0,6.0,5.0,1.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,3.8853052749451367,30.0,30.0,30.0,5.0,0.0,5.0
6799.0,453.0,14.0,1.0,24.0,2.0,17.0,11.0,4.0,14.0,3.0,5.0,434.0,0.0,-0.22,0.0,27.0,2.0,30.0,15.0,15.0,30.0,0.0,10.0,0.0,4.0,8.0,7.0,5.0,5.0,6.0,27.0,1.0,4.0,4.0,3.0,54825.73003686383,2.0,6.0,5.0,1.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,5.182752708864259,30.0,30.0,30.0,5.0,0.0,5.0
6798.0,453.0,14.0,1.0,24.0,2.0,17.0,11.0,3.0,14.0,2.0,4.0,433.0,0.0,0.32,0.0,30.0,6.0,20.0,20.0,20.0,20.0,10.0,10.0,0.0,2.0,7.0,7.0,2.0,7.0,1.0,27.0,1.0,4.0,4.0,3.0,55080.00000000001,2.0,6.0,5.0,1.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,5.182743972615298,30.0,30.0,30.0,5.0,0.0,5.0
6797.0,453.0,14.0,1.0,24.0,2.0,17.0,11.0,11.0,14.0,8.0,3.0,432.0,1.0,0.27,0.0,28.0,2.0,15.0,30.0,30.0,10.0,10.0,5.0,1.0,3.0,9.0,10.0,5.0,10.0,10.0,27.0,1.0,4.0,4.0,3.0,55079.99999999999,2.0,6.0,5.0,1.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,5.182737087435084,30.0,30.0,30.0,5.0,0.0,5.0
6796.0,453.0,14.0,1.0,24.0,2.0,17.0,11.0,9.0,14.0,7.0,2.0,431.0,0.0,0.19,1.0,27.0,4.0,15.0,15.0,25.0,15.0,15.0,15.0,0.0,3.0,8.0,7.0,4.0,4.0,1.0,27.0,1.0,4.0,4.0,3.0,55079.99999999999,2.0,6.0,5.0,1.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,5.182734016189806,30.0,30.0,30.0,5.0,0.0,5.0
6795.0,453.0,14.0,1.0,24.0,2.0,17.0,11.0,8.0,14.0,6.0,1.0,430.0,0.0,0.0,1.0,22.0,4.0,10.0,25.0,15.0,20.0,15.0,15.0,0.0,4.0,8.0,9.0,8.0,9.0,2.0,27.0,1.0,4.0,4.0,3.0,54835.72018283651,2.0,6.0,5.0,1.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,5.18272808121743,30.0,30.0,30.0,5.0,0.0,5.0
