iid_pid,iid,id,gender,idg,condtn,wave,round,position,positin1,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,age,field,field_cd,race,imprace,imprelig,from,zipcode,income,goal,date,go_out,career,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1
6804,453,14,Homme,24,2,17,11,2,14.0,1,10,439.0,0,"0,48",0,29.0,2.0,20,10,50,5,10,5,0,3.0,10.0,10.0,3.0,10.0,0.0,[23-27],law,1.0,4.0,4.0,3.0,"Shanghai, China","210,009",,2.0,6.0,5.0,lawyer,Lawyer,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,,30.0,30.0,30.0,5.0,0.0,5.0
6803,453,14,Homme,24,2,17,11,13,14.0,10,9,438.0,0,"0,31",0,23.0,2.0,14,15,16,17,18,20,0,3.0,9.0,10.0,3.0,10.0,2.0,[23-27],law,1.0,4.0,4.0,3.0,"Shanghai, China","210,009",,2.0,6.0,5.0,lawyer,Lawyer,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,,30.0,30.0,30.0,5.0,0.0,5.0
6802,453,14,Homme,24,2,17,11,12,14.0,9,8,437.0,0,"0,4",0,23.0,2.0,15,15,18,18,14,20,0,6.0,8.0,10.0,6.0,9.0,5.0,[23-27],law,1.0,4.0,4.0,3.0,"Shanghai, China","210,009",,2.0,6.0,5.0,lawyer,Lawyer,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,,30.0,30.0,30.0,5.0,0.0,5.0
6801,453,14,Homme,24,2,17,11,6,14.0,4,7,436.0,0,"0,59",0,23.0,2.0,28,8,17,22,17,8,0,7.0,10.0,8.0,8.0,8.0,7.0,[23-27],law,1.0,4.0,4.0,3.0,"Shanghai, China","210,009",,2.0,6.0,5.0,lawyer,Lawyer,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,,30.0,30.0,30.0,5.0,0.0,5.0
6800,453,14,Homme,24,2,17,11,7,14.0,5,6,435.0,0,"-0,17",0,22.0,1.0,25,5,20,25,15,10,0,2.0,,,,,,[23-27],law,1.0,4.0,4.0,3.0,"Shanghai, China","210,009",,2.0,6.0,5.0,lawyer,Lawyer,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,,30.0,30.0,30.0,5.0,0.0,5.0
6799,453,14,Homme,24,2,17,11,4,14.0,3,5,434.0,0,"-0,22",0,27.0,2.0,30,15,15,30,0,10,0,4.0,8.0,7.0,5.0,5.0,6.0,[23-27],law,1.0,4.0,4.0,3.0,"Shanghai, China","210,009",,2.0,6.0,5.0,lawyer,Lawyer,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,,30.0,30.0,30.0,5.0,0.0,5.0
6798,453,14,Homme,24,2,17,11,3,14.0,2,4,433.0,0,"0,32",0,30.0,6.0,20,20,20,20,10,10,0,2.0,7.0,7.0,2.0,7.0,1.0,[23-27],law,1.0,4.0,4.0,3.0,"Shanghai, China","210,009",,2.0,6.0,5.0,lawyer,Lawyer,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,,30.0,30.0,30.0,5.0,0.0,5.0
6797,453,14,Homme,24,2,17,11,11,14.0,8,3,432.0,1,"0,27",0,28.0,2.0,15,30,30,10,10,5,1,3.0,9.0,10.0,5.0,10.0,10.0,[23-27],law,1.0,4.0,4.0,3.0,"Shanghai, China","210,009",,2.0,6.0,5.0,lawyer,Lawyer,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,,30.0,30.0,30.0,5.0,0.0,5.0
6796,453,14,Homme,24,2,17,11,9,14.0,7,2,431.0,0,"0,19",1,27.0,4.0,15,15,25,15,15,15,0,3.0,8.0,7.0,4.0,4.0,1.0,[23-27],law,1.0,4.0,4.0,3.0,"Shanghai, China","210,009",,2.0,6.0,5.0,lawyer,Lawyer,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,,30.0,30.0,30.0,5.0,0.0,5.0
6795,453,14,Homme,24,2,17,11,8,14.0,6,1,430.0,0,0,1,22.0,4.0,10,25,15,20,15,15,0,4.0,8.0,9.0,8.0,9.0,2.0,[23-27],law,1.0,4.0,4.0,3.0,"Shanghai, China","210,009",,2.0,6.0,5.0,lawyer,Lawyer,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,,30.0,30.0,30.0,5.0,0.0,5.0
